"ID","Case Number","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location","Date"
11570550,"JC121328","042XX W 77TH PL","0820","THEFT","$500 AND UNDER","STREET","false","false",834,8,18,70,"06",1149307,1853013,2019,"01/25/2019 04:14:00 PM",41.752584504,-87.728426938,"(41.752584504, -87.728426938)",01/18/2019 10:00:00 AM
11574296,"JC125190","001XX S HALSTED ST","1130","DECEPTIVE PRACTICE","FRAUD OR CONFIDENCE GAME","OTHER","false","false",1232,12,27,28,"11",,,2019,"01/25/2019 04:14:00 PM",,,,01/18/2019 06:30:00 PM
11571470,"JC122413","062XX S ARTESIAN AVE","2825","OTHER OFFENSE","HARASSMENT BY TELEPHONE","RESIDENCE","false","true",825,8,16,66,"26",1161111,1863176,2019,"01/25/2019 04:14:00 PM",41.78023736,-87.684889053,"(41.78023736, -87.684889053)",01/18/2019 07:45:00 PM
11571263,"JC122165","013XX N WOLCOTT AVE","4387","OTHER OFFENSE","VIOLATE ORDER OF PROTECTION","RESIDENCE","true","true",1424,14,1,24,"26",1163671,1909013,2019,"01/25/2019 04:14:00 PM",41.905965405,-87.674213984,"(41.905965405, -87.674213984)",01/18/2019 10:06:00 PM
12056760,"JD239478","068XX S ROCKWELL ST","1153","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT OVER $ 300","RESIDENCE","false","false",831,8,17,66,"11",1160219,1859200,2019,"05/27/2020 03:40:00 PM",41.769345063,-87.688268624,"(41.769345063, -87.688268624)",01/19/2019 09:00:00 AM
11586819,"JC140942","0000X W DIVISION ST","0820","THEFT","$500 AND UNDER","OTHER","false","false",1824,18,2,8,"06",1175580,1908361,2019,"02/08/2019 04:05:45 PM",41.903916853,-87.630487893,"(41.903916853, -87.630487893)",01/19/2019 09:50:00 AM
11571871,"JC122950","017XX N TRIPP AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false",2534,25,26,20,"14",1147781,1911300,2019,"01/26/2019 04:10:34 PM",41.91256137,-87.732525249,"(41.91256137, -87.732525249)",01/19/2019 07:00:00 PM
11573208,"JC124642","034XX N HARDING AVE","0560","ASSAULT","SIMPLE","SIDEWALK","false","false",1732,17,30,21,"08A",1149450,1922655,2019,"01/27/2019 04:09:33 PM",41.943688249,-87.726098293,"(41.943688249, -87.726098293)",01/20/2019 09:00:00 PM
11573196,"JC124636","016XX N WELLS ST","1150","DECEPTIVE PRACTICE","CREDIT CARD FRAUD","DRUG STORE","false","false",1814,18,2,7,"11",1174407,1911058,2019,"01/28/2019 04:14:23 PM",41.911343842,-87.63471588,"(41.911343842, -87.63471588)",01/21/2019 01:00:00 AM
11572870,"JC124062","013XX N MILWAUKEE AVE","0610","BURGLARY","FORCIBLE ENTRY","DRUG STORE","false","false",1424,14,1,24,"05",1164309,1909321,2019,"01/28/2019 04:14:23 PM",41.906797102,-87.671861659,"(41.906797102, -87.671861659)",01/21/2019 03:02:00 AM
11573160,"JC124572","001XX N LA SALLE ST","0890","THEFT","FROM BUILDING","RESTAURANT","false","false",122,1,42,32,"06",1175106,1901598,2019,"01/28/2019 04:14:23 PM",41.885369466,-87.63243193,"(41.885369466, -87.63243193)",01/21/2019 02:50:00 PM
